Time;MI0;MI1;MI2;
11:56:52:272;114;1;114;
11:56:52:326;114;1;114;
11:56:52:381;114;1;114;
11:56:52:436;114;1;114;
11:56:52:49;114;1;114;
11:56:52:544;114;1;114;
11:56:52:597;114;1;114;
11:56:52:651;114;1;114;
11:56:52:704;114;1;114;
11:56:52:759;114;1;114;
11:56:52:814;114;1;114;
11:56:52:875;114;1;114;
11:56:52:933;114;1;114;
11:56:52:987;114;1;114;
11:56:53:041;117;2;58;
11:56:53:099;117;2;58;
11:56:53:154;117;2;58;
11:56:53:208;117;2;58;
11:56:53:264;117;2;58;
11:56:53:323;117;2;58;
11:56:53:377;117;2;58;
11:56:53:433;117;2;58;
11:56:53:491;117;2;58;
11:56:53:545;117;2;58;
11:56:53:599;117;2;58;
11:56:53:652;117;2;58;
11:56:53:706;117;2;58;
11:56:53:761;117;2;58;
11:56:53:815;117;2;58;
11:56:53:87;117;2;58;
11:56:53:925;117;2;58;
11:56:53:985;117;2;58;
11:56:54:043;120;3;40;
11:56:54:109;120;3;40;
11:56:54:164;120;3;40;
11:56:54:217;120;3;40;
11:56:54:271;120;3;40;
11:56:54:325;120;3;40;
11:56:54:379;120;3;40;
11:56:54:432;120;3;40;
11:56:54:489;120;3;40;
11:56:54:547;120;3;40;
11:56:54:603;120;3;40;
11:56:54:661;120;3;40;
11:56:54:722;120;3;40;
11:56:54:784;120;3;40;
11:56:54:844;120;3;40;
11:56:54:901;120;3;40;
11:56:54:955;120;3;40;
11:56:55:01;120;4;30;
11:56:55:073;123;4;30;
11:56:55:13;123;4;30;
11:56:55:182;123;4;30;
11:56:55:237;123;4;30;
11:56:55:291;123;4;30;
11:56:55:345;123;4;30;
11:56:55:403;123;4;30;
11:56:55:464;123;4;30;
11:56:55:519;123;4;30;
11:56:55:573;123;4;30;
11:56:55:629;123;4;30;
11:56:55:689;123;4;30;
11:56:55:741;123;4;30;
11:56:55:795;123;4;30;
11:56:55:85;123;4;30;
11:56:55:904;123;4;30;
11:56:55:957;123;4;30;
11:56:56:011;123;5;25;
11:56:56:069;126;5;25;
11:56:56:128;126;5;25;
11:56:56:184;126;5;25;
11:56:56:239;126;5;25;
11:56:56:293;126;5;25;
11:56:56:347;126;5;25;
11:56:56:403;126;5;25;
11:56:56:461;126;5;25;
11:56:56:515;126;5;25;
11:56:56:57;126;5;25;
11:56:56:623;126;5;25;
11:56:56:676;126;5;25;
11:56:56:731;126;5;25;
11:56:56:785;126;5;25;
11:56:56:839;126;5;25;
11:56:56:893;126;5;25;
11:56:56:948;126;5;25;
11:56:57:007;126;5;21;
11:56:57:065;129;6;21;
11:56:57:129;129;6;21;
11:56:57:188;129;6;21;
11:56:57:242;129;6;21;
11:56:57:301;129;6;21;
11:56:57:355;129;6;21;
11:56:57:41;129;6;21;
11:56:57:464;129;6;21;
11:56:57:517;129;6;21;
11:56:57:572;129;6;21;
11:56:57:625;129;6;21;
11:56:57:679;129;6;21;
11:56:57:733;129;6;21;
11:56:57:787;129;6;21;
11:56:57:844;129;6;21;
11:56:57:901;129;6;21;
11:56:57:956;129;6;21;
11:56:58:009;129;6;18;
11:56:58:068;132;7;18;
11:56:58:135;132;7;18;
11:56:58:189;132;7;18;
11:56:58:243;132;7;18;
11:56:58:297;132;7;18;
11:56:58:351;132;7;18;
11:56:58:405;132;7;18;
11:56:58:462;132;7;18;
11:56:58:519;132;7;18;
11:56:58:575;132;7;18;
11:56:58:628;132;7;18;
11:56:58:688;132;7;18;
11:56:58:742;132;7;18;
11:56:58:795;132;7;18;
11:56:58:849;132;7;18;
11:56:58:902;132;7;18;
11:56:58:958;132;7;18;
11:56:59:016;132;8;16;
11:56:59:082;135;8;16;
11:56:59:146;135;8;16;
11:56:59:205;135;8;16;
11:56:59:267;135;8;16;
11:56:59:323;135;8;16;
11:56:59:38;135;8;16;
11:56:59:437;135;8;16;
11:56:59:491;135;8;16;
11:56:59:546;135;8;16;
11:56:59:599;135;8;16;
11:56:59:653;135;8;16;
11:56:59:706;135;8;16;
11:56:59:761;135;8;16;
11:56:59:815;135;8;16;
11:56:59:869;135;8;16;
11:56:59:924;135;8;16;
11:56:59:977;135;8;16;
11:57:00:05;138;9;15;
11:57:00:112;138;9;15;
11:57:00:169;138;9;15;
11:57:00:223;138;9;15;
11:57:00:277;138;9;15;
11:57:00:331;138;9;15;
11:57:00:385;138;9;15;
11:57:00:439;138;9;15;
11:57:00:492;138;9;15;
11:57:00:548;138;9;15;
11:57:00:601;138;9;15;
11:57:00:654;138;9;15;
11:57:00:71;138;9;15;
11:57:00:763;138;9;15;
11:57:00:818;138;9;15;
11:57:00:871;138;9;15;
11:57:00:925;138;9;15;
11:57:00:98;138;9;15;
11:57:01:035;141;0;14;
11:57:01:097;141;0;14;
11:57:01:152;141;0;14;
11:57:01:207;141;0;14;
11:57:01:262;141;0;14;
11:57:01:321;141;0;14;
11:57:01:375;141;0;14;
11:57:01:43;141;0;14;
11:57:01:485;141;0;14;
11:57:01:537;141;0;14;
11:57:01:593;141;0;14;
11:57:01:673;141;0;14;
11:57:01:728;141;0;14;
11:57:01:783;141;0;14;
11:57:01:837;141;0;14;
11:57:01:893;141;0;14;
11:57:01:952;141;0;14;
11:57:02:007;141;1;144;
11:57:02:086;144;1;144;
11:57:02:145;144;1;144;
11:57:02:202;144;1;144;
11:57:02:256;144;1;144;
11:57:02:313;144;1;144;
11:57:02:371;144;1;144;
11:57:02:426;144;1;144;
11:57:02:479;144;1;144;
11:57:02:535;144;1;144;
11:57:02:594;144;1;144;
11:57:02:647;144;1;144;
11:57:02:702;144;1;144;
11:57:02:756;144;1;144;
11:57:02:815;144;1;144;
11:57:02:868;144;1;144;
11:57:02:93;144;1;144;
11:57:02:99;144;1;144;
11:57:03:045;147;2;73;
11:57:03:112;147;2;73;
11:57:03:17;147;2;73;
11:57:03:229;147;2;73;
11:57:03:283;147;2;73;
11:57:03:338;147;2;73;
11:57:03:391;147;2;73;
11:57:03:445;147;2;73;
11:57:03:501;147;2;73;
11:57:03:559;147;2;73;
11:57:03:613;147;2;73;
11:57:03:667;147;2;73;
11:57:03:721;147;2;73;
11:57:03:776;147;2;73;
11:57:03:83;147;2;73;
11:57:03:889;147;2;73;
11:57:03:943;147;2;73;
11:57:03:999;147;2;50;
11:57:04:072;150;3;50;
11:57:04:133;150;3;50;
11:57:04:189;150;3;50;
11:57:04:243;150;3;50;
11:57:04:297;150;3;50;
11:57:04:35;150;3;50;
11:57:04:405;150;3;50;
11:57:04:459;150;3;50;
11:57:04:513;150;3;50;
11:57:04:567;150;3;50;
11:57:04:621;150;3;50;
11:57:04:674;150;3;50;
11:57:04:729;150;3;50;
11:57:04:783;150;3;50;
11:57:04:837;150;3;50;
11:57:04:891;150;3;50;
11:57:04:945;150;3;50;
11:57:04:999;150;3;38;
11:57:05:062;153;4;38;
11:57:05:128;153;4;38;
11:57:05:185;153;4;38;
11:57:05:242;153;4;38;
11:57:05:306;153;4;38;
11:57:05:367;153;4;38;
11:57:05:427;153;4;38;
11:57:05:48;153;4;38;
11:57:05:533;153;4;38;
11:57:05:589;153;4;38;
11:57:05:646;153;4;38;
11:57:05:7;153;4;38;
11:57:05:757;153;4;38;
11:57:05:816;153;4;38;
11:57:05:869;153;4;38;
11:57:05:924;153;4;38;
11:57:05:979;153;4;38;
11:57:06:037;156;5;31;
11:57:06:099;156;5;31;
11:57:06:151;156;5;31;
11:57:06:205;156;5;31;
11:57:06:259;156;5;31;
11:57:06:313;156;5;31;
11:57:06:367;156;5;31;
11:57:06:424;156;5;31;
11:57:06:482;156;5;31;
11:57:06:535;156;5;31;
11:57:06:595;156;5;31;
11:57:06:65;156;5;31;
11:57:06:702;156;5;31;
11:57:06:757;156;5;31;
11:57:06:814;156;5;31;
11:57:06:875;156;5;31;
11:57:06:93;156;5;31;
11:57:06:987;156;5;26;
11:57:07:055;159;6;26;
11:57:07:124;159;6;26;
11:57:07:176;159;6;26;
11:57:07:232;159;6;26;
11:57:07:285;159;6;26;
11:57:07:339;159;6;26;
11:57:07:392;159;6;26;
11:57:07:446;159;6;26;
11:57:07:502;159;6;26;
11:57:07:555;159;6;26;
11:57:07:609;159;6;26;
11:57:07:663;159;6;26;
11:57:07:718;159;6;26;
11:57:07:771;159;6;26;
11:57:07:825;159;6;26;
11:57:07:881;159;6;26;
11:57:07:94;159;6;26;
11:57:07:996;159;6;23;
11:57:08:067;162;7;23;
11:57:08:141;162;7;23;
11:57:08:2;162;7;23;
11:57:08:257;162;7;23;
11:57:08:311;162;7;23;
11:57:08:365;162;7;23;
11:57:08:419;162;7;23;
11:57:08:472;162;7;23;
11:57:08:526;162;7;23;
11:57:08:582;162;7;23;
11:57:08:635;162;7;23;
11:57:08:689;162;7;23;
11:57:08:742;162;7;23;
11:57:08:798;162;7;23;
11:57:08:851;162;7;23;
11:57:08:904;162;7;23;
11:57:08:96;162;7;23;
11:57:09:015;162;8;20;
11:57:09:08;165;8;20;
11:57:09:142;165;8;20;
11:57:09:201;165;8;20;
11:57:09:26;165;8;20;
11:57:09:313;165;8;20;
11:57:09:367;165;8;20;
11:57:09:421;165;8;20;
11:57:09:475;165;8;20;
11:57:09:529;165;8;20;
11:57:09:583;165;8;20;
11:57:09:638;165;8;20;
11:57:09:691;165;8;20;
11:57:09:745;165;8;20;
11:57:09:8;165;8;20;
11:57:09:854;165;8;20;
11:57:09:908;165;8;20;
11:57:09:961;165;8;20;
11:57:10:016;165;9;18;
11:57:10:095;168;9;18;
11:57:10:156;168;9;18;
11:57:10:212;168;9;18;
11:57:10:268;168;9;18;
11:57:10:324;168;9;18;
11:57:10:381;168;9;18;
11:57:10:434;168;9;18;
11:57:10:489;168;9;18;
11:57:10:545;168;9;18;
11:57:10:603;168;9;18;
11:57:10:657;168;9;18;
11:57:10:711;168;9;18;
11:57:10:766;168;9;18;
11:57:10:819;168;9;18;
11:57:10:875;168;9;18;
11:57:10:934;168;9;18;
11:57:10:993;168;9;17;
11:57:11:051;171;0;17;
11:57:11:114;171;0;17;
11:57:11:168;171;0;17;
11:57:11:221;171;0;17;
11:57:11:275;171;0;17;
11:57:11:329;171;0;17;
11:57:11:385;171;0;17;
11:57:11:437;171;0;17;
11:57:11:492;171;0;17;
11:57:11:547;171;0;17;
11:57:11:605;171;0;17;
11:57:11:659;171;0;17;
11:57:11:712;171;0;17;
11:57:11:767;171;0;17;
11:57:11:823;171;0;17;
11:57:11:881;171;0;17;
11:57:11:934;171;0;17;
11:57:11:99;171;0;174;
11:57:12:056;174;1;174;
11:57:12:114;174;1;174;
11:57:12:169;174;1;174;
11:57:12:224;174;1;174;
11:57:12:277;174;1;174;
11:57:12:331;174;1;174;
11:57:12:39;174;1;174;
11:57:12:445;174;1;174;
11:57:12:505;174;1;174;
11:57:12:559;174;1;174;
11:57:12:614;174;1;174;
11:57:12:668;174;1;174;
11:57:12:722;174;1;174;
11:57:12:775;174;1;174;
11:57:12:83;174;1;174;
11:57:12:886;174;1;174;
11:57:12:942;174;1;174;
11:57:12:997;174;1;88;
11:57:13:056;177;2;88;
11:57:13:123;177;2;88;
11:57:13:18;177;2;88;
11:57:13:238;177;2;88;
11:57:13:326;177;2;88;
11:57:13:38;177;2;88;
11:57:13:436;177;2;88;
11:57:13:491;177;2;88;
11:57:13:55;177;2;88;
11:57:13:603;177;2;88;
11:57:13:658;177;2;88;
11:57:13:712;177;2;88;
11:57:13:767;177;2;88;
11:57:13:825;177;2;88;
11:57:13:879;177;2;88;
11:57:13:936;177;2;88;
11:57:13:993;177;2;60;
11:57:14:048;180;3;60;
11:57:14:107;180;3;60;
11:57:14:161;180;3;60;
11:57:14:215;180;3;60;
11:57:14:269;180;3;60;
11:57:14:323;180;3;60;
11:57:14:379;180;3;60;
11:57:14:439;180;3;60;
11:57:14:497;180;3;60;
11:57:14:551;180;3;60;
11:57:14:606;180;3;60;
11:57:14:868;180;3;60;
11:57:14:929;180;3;60;
11:57:14:982;180;3;60;
11:57:15:036;183;4;45;
11:57:15:096;183;4;45;
11:57:15:151;183;4;45;
11:57:15:205;183;4;45;
11:57:15:259;183;4;45;
11:57:15:312;183;4;45;
11:57:15:367;183;4;45;
11:57:15:424;183;4;45;
11:57:15:481;183;4;45;
11:57:15:534;183;4;45;
11:57:15:589;183;4;45;
11:57:15:644;183;4;45;
11:57:15:697;183;4;45;
11:57:15:751;183;4;45;
11:57:15:805;183;4;45;
11:57:15:859;183;4;45;
11:57:15:913;183;4;45;
11:57:15:97;183;4;45;
11:57:16:03;186;5;37;
11:57:16:096;186;5;37;
11:57:16:156;186;5;37;
11:57:16:213;186;5;37;
11:57:16:267;186;5;37;
11:57:16:324;186;5;37;
11:57:16:381;186;5;37;
11:57:16:44;186;5;37;
11:57:16:497;186;5;37;
11:57:16:555;186;5;37;
11:57:16:608;186;5;37;
11:57:16:662;186;5;37;
11:57:16:717;186;5;37;
11:57:16:774;186;5;37;
11:57:16:831;186;5;37;
11:57:16:885;186;5;37;
11:57:16:94;186;5;37;
11:57:17:001;186;5;31;
11:57:17:056;189;6;31;
11:57:17:128;189;6;31;
11:57:17:187;189;6;31;
11:57:17:245;189;6;31;
11:57:17:3;189;6;31;
11:57:17:354;189;6;31;
11:57:17:408;189;6;31;
11:57:17:462;189;6;31;
11:57:17:521;189;6;31;
11:57:17:577;189;6;31;
11:57:17:635;189;6;31;
11:57:17:69;189;6;31;
11:57:17:743;189;6;31;
11:57:17:797;189;6;31;
11:57:17:851;189;6;31;
11:57:17:905;189;6;31;
11:57:17:96;189;6;31;
11:57:18:015;189;7;27;
11:57:18:082;192;7;27;
11:57:18:141;192;7;27;
11:57:18:248;192;7;27;0;
11:57:18:355;192;7;27;0;
11:57:18:433;192;7;27;0;
11:57:18:511;192;7;27;0;
11:57:18:583;192;7;27;0;
11:57:18:656;192;7;27;0;
11:57:18:727;192;7;27;0;
11:57:18:8;192;7;27;0;
11:57:18:871;192;7;27;0;
11:57:18:944;192;7;27;0;
11:57:19:015;192;8;24;0;
11:57:19:095;195;8;24;0;
11:57:19:179;195;8;24;0;
11:57:19:257;195;8;24;0;
11:57:19:333;195;8;24;0;
11:57:19:407;195;8;24;0;
11:57:19:483;195;8;24;0;
11:57:19:555;195;8;24;0;
11:57:19:627;195;8;24;0;
11:57:19:699;195;8;24;0;
11:57:19:771;195;8;24;0;
11:57:19:843;195;8;24;0;
11:57:19:914;195;8;24;0;
11:57:19:986;195;8;24;0;
11:57:20:058;198;9;22;0;
11:57:20:136;198;9;22;0;
11:57:20:209;198;9;22;0;
11:57:20:282;198;9;22;0;
11:57:20:353;198;9;22;0;
11:57:20:425;198;9;22;0;
11:57:20:497;198;9;22;0;
11:57:20:57;198;9;22;0;
11:57:20:641;198;9;22;0;
11:57:20:713;198;9;22;0;
11:57:20:785;198;9;22;0;
11:57:20:857;198;9;22;0;
11:57:20:929;198;9;22;0;
11:57:21:001;198;9;20;0;
11:57:21:084;201;0;20;0;
11:57:21:163;201;0;20;0;
11:57:21:237;201;0;20;0;
11:57:21:314;201;0;20;0;
11:57:21:385;201;0;20;0;
11:57:21:459;201;0;20;0;
11:57:21:535;201;0;20;0;
11:57:21:607;201;0;20;0;
11:57:21:681;201;0;20;0;
11:57:21:757;201;0;20;0;
11:57:21:829;201;0;20;0;
11:57:21:901;201;0;20;0;
11:57:21:973;201;0;20;0;
11:57:22:044;204;1;204;0;
11:57:22:128;204;1;204;0;
11:57:22:201;204;1;204;0;
11:57:22:273;204;1;204;0;
11:57:22:345;204;1;204;0;
11:57:22:423;204;1;204;0;
11:57:22:496;204;1;204;0;
11:57:22:574;204;1;204;0;
11:57:22:645;204;1;204;0;
11:57:22:717;204;1;204;0;
11:57:22:791;204;1;204;0;
11:57:22:866;204;1;204;0;
11:57:22:939;204;1;204;0;
11:57:23:011;204;2;103;0;
11:57:23:088;207;2;103;0;
11:57:23:168;207;2;103;0;
11:57:23:24;207;2;103;0;
11:57:23:317;207;2;103;0;
11:57:23:39;207;2;103;0;
11:57:23:469;207;2;103;0;
11:57:23:545;207;2;103;0;
11:57:23:618;207;2;103;0;
11:57:23:689;207;2;103;0;
11:57:23:761;207;2;103;0;
11:57:23:833;207;2;103;0;
11:57:23:907;207;2;103;0;
11:57:23:983;207;2;103;0;
11:57:24:055;210;3;70;0;
11:57:24:136;210;3;70;0;
11:57:24:211;210;3;70;0;
11:57:24:283;210;3;70;0;
11:57:24:356;210;3;70;0;
11:57:24:432;210;3;70;0;
11:57:24:505;210;3;70;0;
11:57:24:578;210;3;70;0;
11:57:24:654;210;3;70;0;
11:57:24:727;210;3;70;0;
11:57:24:799;210;3;70;0;
11:57:24:874;210;3;70;0;
11:57:24:95;210;3;70;0;
11:57:25:03;213;4;53;0;
11:57:25:112;213;4;53;0;
11:57:25:185;213;4;53;0;
11:57:25:261;213;4;53;0;
11:57:25:333;213;4;53;0;
11:57:25:408;213;4;53;0;
11:57:25:484;213;4;53;0;
11:57:25:555;213;4;53;0;
11:57:25:627;213;4;53;0;
11:57:25:699;213;4;53;0;
11:57:25:772;213;4;53;0;
11:57:25:844;213;4;53;0;
11:57:25:914;213;4;53;0;
11:57:25:988;213;4;43;0;
11:57:26:083;216;5;43;0;
11:57:26:161;216;5;43;0;
11:57:26:233;216;5;43;0;
11:57:26:304;216;5;43;0;
11:57:26:377;216;5;43;0;
11:57:26:449;216;5;43;0;
11:57:26:522;216;5;43;0;
11:57:26:593;216;5;43;0;
11:57:26:665;216;5;43;0;
11:57:26:739;216;5;43;0;
11:57:26:814;216;5;43;0;
11:57:26:887;216;5;43;0;
11:57:26:958;216;5;43;0;
11:57:27:032;219;6;36;0;
11:57:27:123;219;6;36;0;
11:57:27:2;219;6;36;0;
11:57:27:271;219;6;36;0;
11:57:27:343;219;6;36;0;
11:57:27:414;219;6;36;0;
11:57:27:487;219;6;36;0;
11:57:27:562;219;6;36;0;
11:57:27:637;219;6;36;0;
11:57:27:709;219;6;36;0;
11:57:27:781;219;6;36;0;
11:57:27:853;219;6;36;0;
11:57:27:926;219;6;36;0;
11:57:27:999;219;6;31;0;
11:57:28:078;222;7;31;0;
11:57:28:157;222;7;31;0;
11:57:28:231;222;7;31;0;
11:57:28:303;222;7;31;0;
11:57:28:376;222;7;31;0;
11:57:28:448;222;7;31;0;
11:57:28:528;222;7;31;0;
11:57:28:602;222;7;31;0;
11:57:28:674;222;7;31;0;
11:57:28:747;222;7;31;0;
11:57:28:819;222;7;31;0;
11:57:28:891;222;7;31;0;
11:57:28:962;222;7;31;0;
11:57:29:035;225;8;28;0;
11:57:29:112;225;8;28;0;
11:57:29:185;225;8;28;0;
11:57:29:257;225;8;28;0;
11:57:29:329;225;8;28;0;
11:57:29:401;225;8;28;0;
11:57:29:474;225;8;28;0;
11:57:29:545;225;8;28;0;
11:57:29:617;225;8;28;0;
11:57:29:689;225;8;28;0;
11:57:29:761;225;8;28;0;
11:57:29:832;225;8;28;0;
11:57:29:908;225;8;28;0;
11:57:29:983;225;8;28;0;
11:57:30:055;228;9;25;0;
11:57:30:134;228;9;25;0;
11:57:30:204;228;9;25;0;
11:57:30:277;228;9;25;0;
11:57:30:349;228;9;25;0;
11:57:30:421;228;9;25;0;
11:57:30:492;228;9;25;0;
11:57:30:566;228;9;25;0;
11:57:30:637;228;9;25;0;
11:57:30:71;228;9;25;0;
11:57:30:781;228;9;25;0;
11:57:30:853;228;9;25;0;
11:57:30:925;228;9;25;0;
11:57:30:998;228;9;23;0;
11:57:31:072;231;0;23;0;
11:57:31:157;231;0;23;0;
11:57:31:234;231;0;23;0;
11:57:31:309;231;0;23;0;
11:57:31:38;231;0;23;0;
11:57:31:453;231;0;23;0;
11:57:31:524;231;0;23;0;
11:57:31:598;231;0;23;0;
11:57:31:669;231;0;23;0;
11:57:31:741;231;0;23;0;
11:57:31:813;231;0;23;0;
11:57:31:891;231;0;23;0;
11:57:31:963;231;0;23;0;
11:57:32:034;234;1;234;0;
11:57:32:112;234;1;234;0;
11:57:32:185;234;1;234;0;
11:57:32:258;234;1;234;0;
11:57:32:331;234;1;234;0;
11:57:32:407;234;1;234;0;
11:57:32:481;234;1;234;0;
11:57:32:557;234;1;234;0;
11:57:32:628;234;1;234;0;
11:57:32:7;234;1;234;0;
11:57:32:773;234;1;234;0;
11:57:32:845;234;1;234;0;
11:57:32:917;234;1;234;0;
11:57:32:989;234;1;234;0;
11:57:33:061;237;2;118;0;
11:57:33:148;237;2;118;0;
11:57:33:223;237;2;118;0;
11:57:33:294;237;2;118;0;
11:57:33:368;237;2;118;0;
11:57:33:439;237;2;118;0;
11:57:33:511;237;2;118;0;
11:57:33:583;237;2;118;0;
11:57:33:655;237;2;118;0;
11:57:33:727;237;2;118;0;
11:57:33:802;237;2;118;0;
11:57:33:877;237;2;118;0;
11:57:33:949;237;2;118;0;
11:57:34:022;237;3;80;0;
11:57:34:106;240;3;80;0;
11:57:34:179;240;3;80;0;
11:57:34:255;240;3;80;0;
11:57:34:327;240;3;80;0;
11:57:34:401;240;3;80;0;
11:57:34:477;240;3;80;0;
11:57:34:549;240;3;80;0;
11:57:34:621;240;3;80;0;
11:57:34:693;240;3;80;0;
11:57:34:766;240;3;80;0;
11:57:34:838;240;3;80;0;
11:57:34:909;240;3;80;0;
11:57:34:98;240;3;80;0;
11:57:35:053;243;4;60;0;
11:57:35:13;243;4;60;0;
11:57:35:204;243;4;60;0;
11:57:35:275;243;4;60;0;
11:57:35:347;243;4;60;0;
11:57:35:418;243;4;60;0;
11:57:35:496;243;4;60;0;
11:57:35:571;243;4;60;0;
11:57:35:648;243;4;60;0;
11:57:35:722;243;4;60;0;
11:57:35:796;243;4;60;0;
11:57:35:871;243;4;60;0;
11:57:35:948;243;4;60;0;
11:57:36:02;243;5;49;0;
11:57:36:096;246;5;49;0;
11:57:36:171;246;5;49;0;
11:57:36:247;246;5;49;0;
11:57:36:319;246;5;49;0;
11:57:36:397;246;5;49;0;
11:57:36:468;246;5;49;0;
11:57:36:541;246;5;49;0;
11:57:36:612;246;5;49;0;
11:57:36:685;246;5;49;0;
11:57:36:758;246;5;49;0;
11:57:36:83;246;5;49;0;
11:57:36:902;246;5;49;0;
11:57:36:974;246;5;49;0;
11:57:37:045;249;6;41;0;
11:57:37:131;249;6;41;0;
11:57:37:208;249;6;41;0;
11:57:37:279;249;6;41;0;
11:57:37:35;249;6;41;0;
11:57:37:423;249;6;41;0;
11:57:37:494;249;6;41;0;
11:57:37:567;249;6;41;0;
11:57:37:64;249;6;41;0;
11:57:37:711;249;6;41;0;
11:57:37:783;249;6;41;0;
11:57:37:857;249;6;41;0;
11:57:37:933;249;6;41;0;
11:57:38:005;249;6;36;0;
